income,investment_income,deductions,age,state,target
119475,19596,25368,32,CA,20492.4
49457,18793,11650,37,TX,9797.850000000002
96557,8199,9173,25,TX,18248.0
107189,10717,7382,66,TX,21199.850000000002
139109,3423,19915,48,FL,23356.500000000004
108953,10211,28105,29,WA,16296.000000000004
82995,12782,801,38,CA,18316.05
70757,12474,8234,47,WA,13964.000000000002
39692,3667,13897,44,WA,5014.200000000001
75758,8277,15197,61,TX,12593.900000000001
102409,12424,19733,43,TX,17412.15
101211,18852,24389,50,WA,16972.75
95697,18020,9969,43,TX,19350.15
67065,8155,3201,43,FL,13836.0
122093,3583,16733,53,CA,20772.800000000003
129299,15515,26143,57,WA,21651.300000000003
62606,4009,25705,18,CA,6696.300000000001
41534,19710,27535,32,FL,4379.550000000001
124663,10410,28363,67,TX,19403.350000000002
70397,18601,9972,18,NY,14376.550000000003
121387,4967,583,28,FL,24876.7
31016,18753,12719,19,NY,5836.4000000000015
119789,10695,3377,18,CA,24717.800000000003
85591,9135,22412,48,WA,12885.45
119812,5722,24078,61,TX,18801.2
53247,15514,22580,33,FL,7331.500000000002
54300,11128,23467,39,TX,6662.450000000001
104065,4444,14855,59,NY,17765.85
112798,7618,3401,35,NY,22852.050000000003
39268,18060,13636,64,WA,7153.6
116807,1196,19569,34,NY,18648.550000000003
42185,12297,26770,47,WA,3589.0499999999993
93704,2787,21669,27,FL,13741.599999999999
116779,7927,15738,52,WA,20610.350000000002
69099,19702,25738,38,NY,10340.600000000002
38571,2176,6772,33,CA,6347.6
135512,8792,24874,23,WA,22202.7
68044,9171,19731,20,TX,10051.7
81214,2451,10131,58,CA,14077.7
91228,628,788,60,WA,18142.800000000003
144752,9821,21329,38,TX,25091.300000000003
78984,7778,16184,30,CA,12917.5
70774,3696,2889,35,WA,13986.95
32568,19149,9569,41,FL,6993.700000000001
92592,12972,21657,44,TX,15049.95
97563,8307,10141,21,FL,18223.4
32695,4956,19656,39,NY,2368.3999999999996
78190,10195,25453,41,WA,10804.0
35258,17076,21618,57,WA,4208.5
117538,19546,11934,62,TX,23456.000000000004
69504,1105,9769,27,WA,11624.300000000001
63159,19392,23286,19,NY,9719.1
43986,18545,27715,57,WA,4650.200000000001
91858,15417,7612,23,CA,18781.15
42666,14188,18876,65,FL,5942.4000000000015
68660,12602,16205,35,NY,11571.05
33561,9256,27331,34,NY,1267.8500000000004
56854,14212,23129,55,FL,7720.35
94505,1913,13934,62,FL,15704.45
134488,10593,10095,40,NY,25962.800000000003
82251,1772,25958,63,FL,10226.5
52662,19164,4240,47,TX,12347.000000000002
38392,12996,18706,38,FL,4951.300000000001
60535,2871,10748,27,CA,9850.65
108603,13234,5298,60,CA,22381.2
143569,17044,1861,30,TX,30805.15
82256,10521,14142,29,FL,14493.850000000002
119135,10642,23004,26,CA,19672.3
65222,1132,26442,21,WA,6603.700000000001
107373,699,20431,56,FL,16471.7
109575,14534,23965,41,TX,18103.85
126354,10230,7320,51,FL,24975.300000000003
114651,6297,11367,56,NY,21033.0
93335,12839,17482,58,NY,16222.349999999999
40965,7812,5247,22,CA,8053.049999999999
54538,4557,1734,32,NY,11157.65
138066,2179,4663,67,TX,26774.3
100592,11030,5909,21,CA,20295.65
128018,9065,19800,68,TX,22013.350000000002
143252,8275,12818,69,TX,26687.15
38110,17806,22686,56,NY,4621.4
109309,15089,23977,25,NY,18130.9
57266,3180,17064,66,TX,7664.200000000001
82992,6696,8163,62,NY,15562.050000000003
112948,9583,18454,41,NY,19413.550000000003
128806,16998,13358,45,NY,24971.4
36910,13869,6668,60,FL,7795.35
140989,11757,13016,44,TX,26707.350000000002
120982,16654,8001,18,WA,24694.25
149176,12258,9921,51,TX,29193.65
30206,2468,2191,34,CA,5863.650000000001
117054,14208,8859,54,NY,23327.250000000004
117897,15042,26188,55,NY,19288.7
53419,15639,23970,43,WA,7037.1500000000015
80636,11546,8872,41,CA,15641.100000000002
144238,12327,25548,56,FL,24309.65
80015,14270,19230,38,TX,13336.0
147478,15523,26708,47,FL,25147.050000000003
137059,14300,18847,64,CA,24845.050000000003
84268,19991,23221,68,WA,14047.000000000004
140687,10775,27105,65,CA,22977.4
117939,12265,27079,30,WA,18657.800000000003
48141,19459,4922,54,FL,11316.550000000001
110356,16673,4392,20,FL,23474.15
135878,6614,19567,49,CA,23275.95
101910,3252,28609,52,CA,13717.55
86044,7415,13541,36,NY,14935.8
97214,16662,19551,31,WA,17054.35
147930,11116,19381,65,NY,26408.15
149324,16964,15015,39,TX,28655.65
63827,4958,22905,34,TX,7782.850000000002
85820,4276,3227,21,CA,16998.65
92623,4776,22948,62,FL,13504.000000000004
111734,17208,26728,57,TX,18246.000000000004
105450,3832,26304,36,TX,15088.8
123426,14901,2024,54,NY,26414.350000000002
147845,5445,16713,19,NY,26207.5
52299,1380,2486,32,TX,10045.300000000001
73585,9865,1155,19,CA,15908.0
139225,13926,10082,28,NY,27413.4
94044,19540,4477,62,TX,20620.55
72557,11580,18569,40,FL,11606.150000000001
79080,5634,7086,27,NY,14889.599999999999
139556,5810,29514,20,TX,21404.2
32693,10179,2317,22,WA,7486.200000000001
125003,12251,3621,20,NY,25933.000000000004
125259,13131,4491,55,WA,25898.700000000004
142235,19493,15916,30,NY,27391.95
99163,12707,15248,59,NY,17926.65
55939,19624,2511,36,WA,13503.650000000001
78925,18233,24226,57,CA,12463.45
72941,2749,25025,67,TX,8744.300000000001
51834,13156,9546,52,CA,9953.7
48047,16589,15612,41,CA,8194.75
56105,3450,7848,41,TX,9776.5
105766,7214,14274,34,FL,18666.8
45707,11814,21788,57,CA,5466.5
51976,5141,21777,27,CA,5722.1
74262,2708,17677,19,CA,10839.350000000002
53776,18375,2465,61,FL,12895.2
60080,15088,16304,40,NY,10203.2
96842,11834,15669,23,WA,17226.25
91373,12278,11294,19,WA,17292.800000000003
36776,10014,26425,38,FL,2251.050000000001
122787,3273,3175,52,CA,24254.600000000002
85016,14367,7849,66,WA,17196.0
39474,4538,12473,46,FL,5457.25
135830,12541,27775,24,TX,22103.4
88053,8712,9425,46,WA,16561.15
51959,9168,26013,54,TX,5263.750000000002
35530,3551,27928,40,CA,656.6499999999996
124856,12297,12222,50,WA,23760.25
149101,10965,8444,25,FL,29353.95
33748,2832,8210,29,NY,5121.900000000001
127504,13422,2759,63,WA,26824.350000000002
128098,152,16091,65,WA,21619.65
43545,11156,21639,27,WA,4972.65
96199,11108,24798,32,WA,14706.5
64766,2800,2,41,FL,13372.7
103530,5310,24514,43,FL,15374.0
123557,9944,17643,64,NY,21792.25
91087,2610,8190,59,FL,16561.4
125839,12067,29525,56,FL,19596.600000000002
146183,1104,20707,20,CA,24225.45
98840,10728,15248,19,CA,17565.2
148451,7263,5773,23,TX,29336.4
84384,1914,12786,38,NY,13967.399999999998
81005,19456,18952,26,CA,14381.400000000001
76576,406,15037,27,NY,11616.85
69353,13689,1885,53,NY,15452.7
92003,166,7060,20,WA,16660.500000000004
113211,508,16331,58,NY,18635.65
82733,18045,7844,41,WA,17292.350000000002
95318,3664,22495,39,TX,13989.45
139953,19873,13450,66,TX,27609.050000000003
119474,13050,9491,31,TX,23479.550000000003
53664,680,18722,59,WA,6154.300000000001
97172,18908,9268,62,WA,19953.600000000002
115616,18504,20142,61,TX,20863.3
123264,4357,27757,44,WA,18367.100000000002
145386,1363,21194,50,FL,23983.15
56736,9523,9139,39,FL,10490.900000000001
124209,2292,6791,46,WA,23487.850000000002
133041,1538,7171,36,WA,25046.15
142859,3408,28314,36,CA,22004.500000000004
142181,8752,19115,23,CA,24970.25
30854,18287,28583,62,NY,1768.1000000000004
120084,174,17253,36,NY,19729.65
68623,2230,21550,30,NY,8671.6
37392,4287,93,43,TX,8098.200000000001
85680,12112,2987,39,FL,18206.05
76717,7106,12847,38,TX,13197.550000000003
149937,9689,9967,53,WA,28949.0
117092,12046,16218,19,CA,21170.800000000003
80859,19555,10452,64,WA,16492.050000000003
134095,17951,8627,61,WA,27354.9
56309,1151,4947,47,CA,10197.7
117455,7619,6651,44,WA,22971.1
93734,6033,23363,24,NY,13811.0
100467,8560,23178,37,CA,15582.900000000001
82662,4946,28876,67,WA,10055.300000000003
128506,1907,22908,48,NY,20260.25
139751,3490,3144,40,NY,27687.7
148906,18919,19971,30,FL,27626.3
42688,4173,29771,34,NY,1720.800000000001
55342,11065,16460,21,TX,8613.150000000001
67157,17677,25391,31,CA,9735.2
97863,4769,8959,37,CA,18048.2
136308,4796,22937,30,CA,22246.750000000004
82083,13046,28261,20,WA,11308.250000000004
136081,14211,8297,43,WA,27273.600000000002
95733,19356,28492,43,TX,14927.000000000004
119045,4997,6694,35,NY,22885.05
64698,17376,15835,49,WA,11587.25
140078,8112,19257,31,NY,24418.15
110623,5287,3346,64,NY,22081.15
52671,10578,23408,20,WA,6268.9000000000015
55184,18624,19532,18,WA,8947.400000000001
123384,17860,11340,43,TX,24520.800000000003
72107,6426,26041,41,FL,8875.050000000001
116202,11599,27163,66,CA,18189.5
139893,389,244,52,WA,27975.95
81663,999,2625,31,WA,15826.2
45708,12812,3849,20,NY,10101.15
121906,15599,9597,30,FL,24321.8
79811,1855,25557,64,WA,9851.2
32811,8125,7737,67,FL,5846.700000000001
86250,13794,14024,31,CA,15813.099999999999
142547,2763,12000,38,NY,25923.850000000002
102082,4986,8333,43,TX,19081.050000000003
64754,1481,17276,20,CA,8853.95
125742,3731,21871,68,FL,20240.300000000003
136642,16835,23635,57,FL,23944.9
41411,19477,7310,21,CA,9376.25
32911,17266,2399,53,FL,8572.35
97270,10758,4640,68,TX,19907.7
113763,19661,19344,60,TX,20865.750000000004
38680,16311,10391,18,FL,7584.9
114896,8566,23709,57,FL,18336.850000000002
113879,11889,17853,64,TX,20095.9
101295,11254,10892,50,FL,19224.1
118614,11442,11197,24,WA,22639.850000000002
130689,13521,13050,69,NY,24903.450000000004
41111,4559,3374,69,WA,8062.550000000001
67504,16199,12911,28,FL,12702.900000000001
31802,7291,8847,44,FL,5242.3
38155,8160,14785,31,NY,5158.75
103656,112,10960,39,FL,18008.0
69384,19581,13535,33,NY,13430.2
142561,15924,8234,63,TX,28842.3
77254,16523,10503,29,NY,15303.5
51918,1424,24307,66,NY,4520.450000000001
115981,19333,5122,63,WA,24815.65
90713,19552,9852,27,FL,18612.4
60306,10808,5387,41,TX,12335.650000000001
46646,6043,29267,63,CA,2918.9000000000015
76843,6989,7631,35,NY,14509.2
126601,6261,7226,39,CA,24452.850000000002
120735,887,5108,26,FL,23003.05
137512,19488,18608,34,NY,25773.600000000002
46371,16433,2110,55,CA,11211.650000000001
107371,19944,957,57,WA,24226.55
141472,16402,7146,30,CA,28968.2
32049,12253,560,67,WA,8107.75
61616,18990,25906,54,TX,8695.2
133727,7846,23797,23,FL,21973.050000000003
142893,6432,1312,38,CA,29215.4
50932,13452,18205,68,NY,7652.950000000001
147796,13395,27578,53,FL,24673.95
59855,3765,11595,24,CA,9637.0
91434,18822,22030,53,NY,15602.599999999999
102694,15950,21329,42,NY,17599.050000000003
73016,12502,5374,28,NY,15135.0
37400,9741,2651,61,NY,8278.4
147858,5941,10006,31,CA,27961.250000000004
72642,4855,9933,62,TX,12773.400000000001
45151,15166,21085,46,WA,6033.85
81407,19145,28384,27,WA,12057.150000000001
96690,5788,16172,67,WA,16163.2
34499,201,2877,65,TX,6210.7
36295,10561,21966,22,NY,3351.6499999999996
89040,16901,27846,25,NY,13381.650000000001
42183,7737,21774,63,FL,4153.65
59299,1988,4083,22,WA,11137.250000000002
42874,15441,745,41,WA,10704.7
146336,11737,8749,57,NY,28840.5
62711,14256,27877,43,WA,7711.35
35539,7162,17325,23,NY,3850.8500000000004
137941,13065,20407,33,NY,24446.2
83351,14114,18680,53,NY,14117.3
91267,8399,29941,29,CA,12028.0
78354,5633,17323,28,CA,12185.0
32557,5755,17994,20,CA,2876.1500000000005
68360,10825,22684,61,CA,9624.75
112018,4117,1725,54,TX,22589.9
32200,1518,25560,23,FL,277.6999999999998
142476,16346,26163,36,FL,24406.350000000002
98497,2600,12213,35,NY,17036.15
76975,13237,9528,33,WA,14998.55
51357,18579,14162,40,CA,9517.750000000002
149121,3554,27713,60,FL,23429.05
107505,16193,8853,54,FL,21716.7
32869,19233,7187,26,CA,7662.0
91135,15253,32,20,TX,20506.95
80108,16194,14893,25,TX,14727.45
142296,1742,14408,55,FL,25118.5
124179,1306,22369,21,TX,19439.450000000004
120272,3849,15160,29,CA,20841.75
68467,12360,3414,61,FL,14693.900000000001
53328,12768,17540,48,CA,8195.8
149181,13032,19510,42,TX,26913.5
121412,4195,24636,33,CA,18752.65
116831,18939,12120,59,TX,23177.05
33987,18689,1543,31,TX,9215.0
88871,7619,271,30,CA,18849.3
52399,9280,5295,58,TX,10548.050000000001
76214,2642,20460,24,NY,10524.1
129522,9369,14963,29,CA,23569.0
116416,14296,11580,54,NY,22532.600000000002
100271,15438,22286,67,CA,16798.4
74064,15674,27328,21,TX,10331.900000000001
100091,4757,19093,19,TX,15958.5
137450,2994,25730,52,FL,21506.6
70818,15226,21605,61,FL,11046.25
75525,1271,12597,20,NY,12146.4
49830,1813,12045,21,TX,7226.700000000001
47429,18845,13603,55,FL,8911.800000000001
36893,8475,9937,29,TX,6165.6
146381,4396,14830,36,CA,26228.100000000002
109909,9283,28008,27,FL,16372.250000000004
77333,13318,24913,18,NY,11236.05
33436,17200,6722,34,FL,7586.700000000001
104290,82,8201,33,TX,18820.05
106213,1920,4144,26,WA,20494.600000000002
35895,7817,5606,26,WA,6950.049999999999
49738,11683,6766,26,TX,10008.550000000001
60746,11336,17114,29,CA,9571.1
79377,15596,15928,58,FL,14232.800000000003
78404,2093,21274,32,WA,10676.250000000002
84045,12905,1648,19,CA,18332.75
127888,8367,20612,28,TX,21679.65
69790,5285,28230,28,CA,7693.25
137455,10896,2130,25,TX,28592.9
35600,4937,14392,49,FL,4262.55
124660,16753,29047,23,CA,20183.2
123179,18202,10588,37,FL,24719.100000000002
70764,18485,4366,56,CA,15834.050000000003
104543,12977,1506,52,TX,22478.65
75714,19874,18542,25,TX,13488.400000000001
86835,18163,19300,67,CA,15266.45
132946,7674,15222,66,TX,23934.8
139616,17748,12363,60,NY,27494.65
135983,3676,19613,51,NY,22844.750000000004
103744,2426,11795,36,FL,18163.950000000004
86491,2962,9858,24,NY,15278.0
48589,859,12616,48,NY,6692.6500000000015
73484,12048,22649,35,WA,10841.75
112989,4138,4136,57,WA,22184.500000000004
66212,2424,13478,31,WA,10236.500000000002
73525,10409,11161,56,WA,13476.1
77202,4017,2689,53,TX,15370.7
62635,10451,23574,34,FL,8201.15
93208,10278,26902,54,FL,13457.800000000003
63828,10996,2810,61,NY,13712.5
48711,1134,27092,26,FL,3139.300000000001
33420,5119,11663,37,NY,4536.1
126752,5694,6152,62,FL,24666.5
30301,4164,12,45,CA,6681.800000000001
75236,18730,29595,67,CA,10457.95
145294,5039,11162,37,FL,27024.15
147858,14631,22322,58,TX,26185.750000000004
96235,10442,7999,53,NY,18813.55
84240,8252,7219,44,FL,16281.05
95726,17721,5328,25,NY,20471.350000000002
40492,17568,3621,49,WA,9828.35
145668,1551,20067,18,FL,24349.500000000004
131279,12625,24256,34,TX,22085.550000000003
36102,1629,11665,26,WA,4548.500000000001
80336,17910,21694,37,FL,13330.2
148015,1361,11314,62,CA,26978.65
115314,4370,28040,49,FL,16708.300000000003
56641,5283,652,19,CA,11957.650000000001
64584,7610,22183,49,CA,8512.550000000001
62745,10558,16182,62,FL,10087.2
53093,14924,8812,26,FL,10654.2
96105,14839,3790,47,CA,20499.35
133746,11949,15659,37,NY,24626.8
130199,10626,1645,55,WA,27222.450000000004
81885,1993,10435,18,TX,14067.2
66631,869,20896,22,FL,8232.550000000001
141217,1014,21143,52,WA,23109.75
102991,10103,28067,53,WA,15096.900000000001
34014,16986,22258,18,NY,3786.2000000000007
41093,12013,28287,31,WA,2948.800000000001
48070,690,3688,26,FL,8795.5
65777,16873,7689,47,WA,13764.100000000002
86958,10748,1379,41,FL,18659.050000000003
112074,8024,4243,21,FL,22557.65
40729,16678,10237,67,CA,8088.25
129713,5488,27624,31,NY,19859.800000000003
75017,11035,25964,42,TX,10167.650000000001
96320,19296,22891,21,CA,16435.65
57751,18257,16330,42,TX,10206.25
136400,12855,24203,27,FL,23157.5
135864,19642,24977,52,CA,23874.850000000002
108069,2817,19037,24,WA,17277.100000000002
135647,4458,5611,59,WA,26395.350000000002
135510,5307,22511,30,TX,22270.3
84748,8933,12516,21,FL,15160.550000000003
35801,18425,13886,67,TX,6452.450000000001
49190,17063,20307,60,NY,7320.700000000001
79689,10659,24843,53,WA,11325.900000000001
134290,5738,13716,31,CA,24289.7
80993,5668,5912,35,CA,15570.8
59592,14427,21514,25,CA,8703.95
40647,7697,21823,49,WA,3828.2000000000007
38716,16446,24264,44,FL,4144.1
118891,7829,28797,59,WA,17753.3
117545,10751,6449,54,WA,23509.4
147638,13450,1725,40,CA,31113.850000000002
119912,7352,15870,24,WA,21117.7
140627,13516,9304,29,CA,27826.800000000003
100316,8326,7522,42,FL,19431.600000000002
32368,3644,27251,20,NY,207.45000000000073
107575,8003,13663,43,CA,19299.7
36655,3278,4784,21,TX,6626.7
136477,7296,9472,59,NY,26021.800000000003
100031,3074,17616,53,FL,16063.3
106429,13261,28952,32,NY,16036.950000000004
121083,11173,29114,49,CA,18614.050000000003
117922,8312,10055,46,FL,22317.45
85766,1637,29508,27,TX,10021.75
43403,13652,12676,38,CA,7559.4
62097,5103,25192,33,CA,6886.850000000002
108657,17028,24722,64,FL,18105.100000000002
40966,2032,7446,36,FL,6636.5
129157,2761,21000,46,NY,20995.550000000003
148834,15195,4725,69,TX,30864.800000000003
123848,18452,20061,68,NY,22522.15
82921,16625,14769,35,NY,15385.7
79726,2668,22671,61,CA,10677.650000000001
80300,14638,24864,33,FL,12039.7
52677,15954,1409,18,CA,12576.250000000002
85609,17186,8205,65,TX,17648.45
126825,12356,16365,19,NY,23127.15
86661,195,256,32,TX,17297.45
61024,2187,18105,56,FL,8006.6
138211,11707,15704,45,FL,25472.25
100313,2330,17807,18,WA,15960.350000000002
83006,3606,29902,22,TX,9666.600000000002
125285,60,21337,59,CA,19731.75
45338,14387,2990,39,TX,10478.15
98027,3927,1195,53,NY,19895.7
122772,6296,20943,63,FL,20263.050000000003
143632,13622,20749,30,FL,25582.45
110135,14125,1244,18,TX,23834.75
49508,2591,11415,33,TX,7436.5
33051,12127,6766,58,TX,6737.75
78747,15748,21686,39,NY,12690.100000000002
144692,6121,11662,49,NY,26941.050000000003
117142,1200,16210,33,CA,19555.9
117235,15721,28743,68,TX,18619.4
84021,19238,28545,32,CA,12553.650000000001
96412,11087,17690,63,WA,16522.95
88335,6972,10313,69,NY,16134.55
86179,136,2402,59,FL,16655.7
62093,17413,16880,29,WA,10810.55
99678,15346,19783,18,FL,17291.750000000004
110738,18978,13275,34,WA,21675.550000000003
69734,661,28182,58,CA,7000.450000000001
102615,2472,14915,68,CA,17165.05
103523,86,909,67,NY,20490.250000000004
135103,10704,15806,45,FL,24674.7
124476,6219,372,24,WA,25735.05
132769,16322,29033,26,TX,21743.850000000002
47019,14749,22620,39,TX,5961.1500000000015
141721,6968,1344,43,NY,29053.4
113613,19157,8515,29,FL,23467.4
121794,13596,2431,24,TX,25790.450000000004
116672,1700,21054,63,NY,18325.9
103847,2700,29407,64,NY,13822.650000000001
112750,11821,19168,32,FL,19531.15
109634,18031,10585,55,TX,21985.200000000004
58251,5520,28496,38,TX,5354.200000000001
133481,11510,15462,31,TX,24557.2
142566,3687,25791,19,CA,22618.5
55945,16980,1695,25,TX,13312.25
120852,8837,1907,62,WA,25019.2
62217,14955,21198,23,CA,9387.150000000001
38308,11281,17164,54,CA,5062.75
35949,13917,1019,54,CA,9022.6
81990,4757,11457,50,CA,14247.3
31150,13045,1403,58,NY,7836.0
119480,8912,17810,23,WA,20780.3
130235,4733,8855,69,FL,24543.2
104740,7081,5868,43,TX,20543.15
146352,8690,10839,56,CA,27864.15
96617,1673,10,58,FL,19571.850000000002
124841,14318,6330,54,NY,25533.4
46896,11171,15061,31,FL,7289.6
76175,13545,9230,54,CA,14959.25
37805,11803,19209,25,WA,4529.200000000001
35237,2294,7464,56,FL,5525.500000000001
145247,3630,14746,30,CA,25907.4
50056,15093,3003,30,CA,11524.400000000001
75543,16530,29256,57,TX,10274.099999999999
86556,14453,25651,60,TX,13066.400000000001
144548,12174,7195,45,WA,28936.95
141488,3453,23104,35,TX,23039.550000000003
33343,4507,19472,36,WA,2476.6500000000005
43500,10602,13662,55,NY,6874.799999999999
83222,5628,13739,49,NY,14053.850000000002
59375,8328,15588,39,TX,9227.2
39662,15534,1789,19,NY,9815.25
46964,19744,19420,30,FL,7499.4000000000015
143429,19389,23761,40,FL,25653.9
89638,3552,7598,42,FL,16560.9
103666,16402,4838,45,NY,21984.0
115067,2242,5872,28,FL,21881.7
148937,14665,20037,50,WA,26977.9
97215,5097,11367,41,CA,17365.8
99042,8640,4299,19,TX,20029.65
43284,1948,25652,47,WA,2536.000000000002
102789,5618,17357,34,FL,17061.250000000004
114664,4236,7083,57,CA,21797.450000000004
123468,1920,5494,51,TX,23608.100000000002
91389,11169,26441,55,WA,13342.899999999998
39435,4188,11317,39,TX,5685.950000000001
84340,12207,25875,22,NY,12230.3
74078,238,19790,65,FL,9903.800000000001
108832,204,21534,57,WA,16413.5
81293,10799,25734,68,WA,11444.95
125981,5552,3129,33,CA,25246.75
108781,4927,104,30,CA,22469.25
90403,11164,7433,43,CA,17896.95
59124,4390,7689,48,TX,10561.050000000001
125435,19071,3567,69,FL,27055.9
73919,15641,20732,56,TX,11946.95
138761,6160,20774,65,FL,23482.7
65247,15810,23195,40,WA,9622.150000000001
124758,5126,17565,65,TX,21329.250000000004
121747,816,4644,29,TX,23310.800000000003
92752,13414,14966,31,TX,16821.0
86573,192,11330,35,NY,14510.900000000001
89101,18160,22257,44,FL,14979.95
132756,3645,4394,45,FL,25999.45
56646,12816,3534,35,TX,12368.1
134185,6314,22228,33,NY,22227.1
53049,18172,22323,69,TX,7754.85
109605,7374,12388,33,FL,19930.1
128116,3700,11319,30,WA,23348.45
127379,10655,6475,46,NY,25455.300000000003
98385,15129,18158,26,NY,17406.85
70158,9359,14728,43,TX,11753.45
95417,3893,12006,45,WA,16665.850000000002
53289,6811,29545,58,FL,4293.200000000001
140226,9288,24667,30,CA,23271.65
130793,19063,16150,53,FL,24980.550000000003
39823,504,446,26,FL,7928.700000000001
90160,9813,108,64,WA,19476.95
71975,14671,28988,31,NY,9348.650000000001
39540,10738,3239,68,FL,8708.95
46364,11186,5931,29,NY,9467.95
34611,6773,4053,49,WA,6924.900000000001
57663,3816,13746,55,WA,8668.5
81991,717,20921,20,TX,11275.5
87679,11676,22745,69,CA,13600.95
134182,4434,1245,33,WA,27190.25
60977,17042,19104,37,WA,9975.7
124704,5057,13839,49,NY,22239.600000000002
79115,4994,24853,40,WA,10358.849999999999
121007,4234,27632,34,FL,17928.5
118223,3764,12856,33,TX,20995.2
90890,11181,24125,55,TX,13823.900000000001
96387,4637,5105,25,FL,18696.7
48071,2104,2922,36,WA,9199.300000000001
89275,9447,2513,47,CA,18643.8
102369,10674,25414,51,WA,15721.400000000001
41938,18991,2801,31,TX,10536.0
65195,8385,13895,39,CA,10823.0
121680,11999,6981,61,NY,24390.6
34000,3719,8221,34,NY,5302.6
100588,2581,22886,32,WA,14783.250000000004
131042,18949,6038,67,WA,27541.25
123610,2763,22613,65,CA,19483.2
133691,5991,25833,49,CA,21178.600000000002
136306,10531,15082,30,WA,25070.350000000002
127856,19790,14648,38,TX,24877.7
68304,11064,364,66,NY,15229.400000000001
141783,11312,1800,57,CA,29603.4
99449,4780,14110,50,TX,17079.300000000003
112986,4177,5958,44,WA,21734.25
119643,15169,9096,52,FL,23929.95
50764,6476,7436,33,CA,9265.2
138940,18988,21177,45,FL,25341.95
116027,2382,26754,51,TX,16874.2
68494,16915,27426,64,NY,9379.550000000001
33373,12508,24544,18,TX,2414.7999999999993
42161,634,27412,58,NY,1674.300000000001
127532,11996,12638,65,TX,24146.300000000003
122658,14162,179,48,CA,26611.15
130386,16386,3873,53,CA,27566.850000000002
57350,14005,20344,61,FL,8484.75
123008,8397,17570,50,TX,21468.65
124297,12327,28535,50,TX,19574.7
55351,14394,15455,56,FL,9365.550000000001
118668,2890,17157,35,WA,19877.850000000002
144585,10858,12797,40,TX,27346.45
45305,8026,4460,40,TX,9149.9
105353,3306,15316,32,TX,17737.500000000004
106797,897,352,43,WA,21405.95
95953,9277,23327,47,CA,14750.400000000001
87458,9471,21586,42,FL,13515.750000000004
137112,14896,5344,62,WA,28320.800000000003
50358,15240,4507,33,NY,11230.85
33267,14683,4830,56,NY,7648.35
112745,670,11220,65,WA,19844.5
